month	total_rainfall	maximum_rainfall_in_a_day	no_of_rainy_days	mean_temp	max_temperature	temp_extremes_min
1982-01	107.1	36.5	10	25.9	31.9	21.9
1982-02	27.8	9.4	5	27.1	34.3	22.6
1982-03	160.8	61.7	11	27.2	34.3	22.3
1982-04	157	45.1	14	27	33.2	22.2
1982-05	102.2	33	10	28	32.9	23.7
1982-06	59.5	20.6	8	28.4	33.3	23.1
1982-07	76.3	17.2	8	28.2	33	22.1
1982-08	169.5	57.7	11	27.7	33.2	21.9
1982-09	54.1	18	9	27.9	33.2	23.5
1982-10	39.3	10	10	27.4	33.8	22.6
1982-11	134	39.6	13	27.3	34.3	23.1
1982-12	494.1	109	21	26.2	33	22.8
1983-01	246	43.2	18	26.5	32.1	23
1983-02	5.6	5.1	2	28.1	34.6	23.1
1983-03	18.6	18.3	2	28.9	35.8	24.3
1983-04	33.6	21.3	4	29.4	35.8	23.5
1983-05	160.8	32.3	11	28.3	34	23.5
1983-06	94	27.7	11	28.3	33.6	21.3
1983-07	190	55.5	18	27.6	33	21.4
1983-08	262.2	181.8	10	28.1	32.7	22.1
1983-09	170.8	50.3	18	27.2	32.8	22.4
1983-10	212.7	40	17	27.6	33.7	22.4
1983-11	228.8	54.8	18	26.6	32.6	21.3
1983-12	370.6	164.4	16	25.4	31.3	21.9
1984-01	251.2	62.3	18	25.5	31.7	21.2
1984-02	470.4	154.4	19	25.8	31.5	21.1
1984-03	361.3	119.4	19	26.5	32.8	22.1
1984-04	153.1	38.7	17	27.3	32.7	22.7
1984-05	186.5	46	12	27.3	32.9	21.9
1984-06	255	121.1	14	27.5	32.7	21.4
1984-07	127.2	49.2	12	27.2	33	22.5
1984-08	102.7	22.5	13	27.4	32.8	22.4
1984-09	186.7	46.5	17	26.8	32.4	21
1984-10	187.5	47.2	11	27.4	33.4	21.2
1984-11	127.7	35.4	17	26.5	32.7	22.8
1984-12	277.4	58.4	22	26	32.2	22
1985-01	111.1	35.5	7	26.6	33	22.2
1985-02	79.3	18.7	11	27	33.7	22.2
1985-03	88	23.8	13	27.1	33.3	23.1
1985-04	110.5	29.3	14	27.5	34.2	22.4
1985-05	70.1	36.2	12	28	33.6	23.5
1985-06	37	9.9	14	28.2	35	23.4
1985-07	131.8	32.2	17	27	33.3	21
1985-08	56.9	21.4	11	27.7	33	21.3
1985-09	110.7	22	18	26.9	32.5	22.1
1985-10	169	30.2	21	26.7	33.4	21.7
1985-11	179.4	38.2	21	26.6	33	22.5
1985-12	340.1	86.8	22	26.1	32.4	22.9
1986-01	308.2	95.6	13	25.7	31.4	21.5
1986-02	26.7	23	2	26.9	33.2	22.5
1986-03	353.4	71.1	17	26.4	32.7	22.6
1986-04	150	56.4	14	27.4	32.8	22.4
1986-05	145.1	51.3	13	28.2	33.4	22
1986-06	122.9	34.5	13	27.9	33.2	22.2
1986-07	109.7	23.5	12	27.9	33.2	21.9
1986-08	72.9	28.4	11	28.3	34.2	21.9
1986-09	396	97.6	22	26.7	32.4	21.2
1986-10	227.3	65.6	20	26.9	32.6	22.5
1986-11	256.7	40.5	21	26.6	32.8	22.8
1986-12	367.2	131.7	16	26.3	32	22.5
1987-01	568.6	127.4	16	25.5	31.4	22.1
1987-02	86.9	34.8	7	26.6	33	22.8
1987-03	132.5	40.9	12	27.5	33.3	23
